ID,Prediction
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.04718
9,0.00000
10,0.14110
11,0.00000
12,0.00000
13,0.06987
14,0.20123
15,0.00000
16,0.42163
17,0.00000
18,0.47357
19,0.25423
20,0.00000
21,0.00000
22,0.00000
23,0.40108
24,0.29951
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.46129
42,0.00000
43,0.37388
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.17030
54,0.00000
55,0.18692
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.49759
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.73953
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.05388
73,0.00000
74,0.00000
75,0.05294
76,0.00000
77,0.00000
78,0.00000
79,0.06233
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.69873
87,0.00000
88,0.00000
89,0.00000
90,0.23767
91,0.15115
92,0.76260
93,0.00000
94,0.00000
95,0.00000
96,0.18997
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.09956
102,0.00000
103,0.00000
104,0.01919
105,0.49740
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00000
116,0.00000
117,0.00000
118,0.00000
119,0.00000
120,0.00000
121,0.16663
122,0.00000
123,0.34144
124,0.00000
125,0.74892
126,0.00000
127,0.00000
128,0.00000
129,0.00000
130,0.00000
131,0.16138
132,0.00000
133,0.06838
134,0.10603
135,0.00000
136,0.00000
137,0.00000
138,0.00000
139,0.00000
140,0.00000
141,0.00000
142,0.00000
143,0.00000
144,0.00000
145,0.00000
146,0.13366
147,0.00000
148,0.00000
149,0.28522
150,0.00000
151,0.06224
152,0.18378
153,0.00000
154,0.00000
155,0.07503
156,0.06300
157,0.00000
158,0.00000
159,0.00000
160,0.07061
161,0.58583
162,0.00000
163,0.00000
164,0.00000
165,0.00000
166,0.10363
167,0.00000
168,0.00000
169,0.00000
170,0.00000
171,0.48171
172,0.00000
173,0.00000
174,0.00000
175,0.00000
176,0.04025
177,0.00000
178,0.00000
179,0.00000
180,0.00000
181,0.19569
182,0.00000
183,0.00000
184,0.00000
185,0.00000
186,0.00000
187,0.00000
188,0.00000
189,0.00000
190,0.00000
191,0.00000
192,0.00000
193,0.00000
194,0.61628
195,0.00000
196,0.00000
197,0.04563
198,0.00000
199,0.00000
200,0.00000
201,0.00000
202,0.00000
203,0.00000
204,0.00000
205,0.00000
206,0.00000
207,0.00000
208,0.00000
209,0.03706
210,0.00000
211,0.00000
212,0.00000
213,0.00000
214,0.00000
215,0.00000
216,0.10002
217,0.00000
218,0.00000
219,0.00000
220,0.65592
221,0.00000
222,0.00000
223,0.00000
224,0.69573
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.77915
232,0.00000
233,0.14495
234,0.00000
235,0.46895
236,0.00000
237,0.00000
238,0.00000
239,0.00000
240,0.00000
241,0.00000
242,0.00000
243,0.00000
244,0.00000
245,0.00000
246,0.17890
247,0.00000
248,0.29438
249,0.06851
250,0.01115
251,0.00000
252,0.00000
253,0.00000
254,0.00000
255,0.00000
256,0.00000
257,0.00000
258,0.17573
259,0.00000
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.16663
269,0.00000
270,0.00000
271,0.22069
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.41395
282,0.00000
283,0.00000
284,0.00000
285,0.00000
286,0.14920
287,0.00000
288,0.11725
289,0.00000
290,0.00000
291,0.00000
292,0.69445
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.16115
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.08430
307,0.00000
308,0.15623
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.50221
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.06390
325,0.04901
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.03603
340,0.21388
341,0.00000
342,0.25522
343,0.00000
344,0.00000
345,0.00000
346,0.16885
347,0.00000
348,0.10251
349,0.36168
350,0.00000
351,0.00000
352,0.00000
353,0.00000
